
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Colombia","COL","Population, female","SP.POP.TOTL.FE.IN","8294041","8545250","8804384","9071178","9345310","9626120","9914158","10208298","10504325","10796727","11081806","11357767","11626302","11891534","12159492","12434700","12718055","13008652","13306962","13613113","13926924","14248934","14578709","14913773","15250810","15587271","15921923","16254908","16586724","16918486","17250802","17583781","17916469","18247171","18573687","18894485","19208632","19516621","19820150","20121713","20423033","20724523","21025290","21324176","21619418","21909656","22194536","22474113","22747981","23015775","23277201","23531915","23779764","24020999","24256048","24485165","24708400","24925492","",
"Comoros","COM","Population, female","SP.POP.TOTL.FE.IN","96045","97552","99073","100649","102325","104151","106158","108348","110667","113023","115374","117655","119940","122413","125351","128928","133246","138194","143535","148907","154060","158905","163517","168031","172644","177507","182649","188008","193577","199321","205210","211251","217443","223751","230146","236593","243097","249647","256244","262865","269505","276166","282854","289618","296523","303614","310901","318384","326071","333967","342067","350386","358917","367609","376435","385341","394325","403378","",
"Cabo Verde","CPV","Population, female","SP.POP.TOTL.FE.IN","107357","109274","111704","114641","118012","121739","125893","130401","134850","138656","141464","143070","143654","143642","143675","144203","145370","147054","149152","151496","153937","156520","159282","162107","164851","167420","169736","171859","174019","176542","179637","183380","187661","192347","197210","202084","206911","211704","216392","220915","225201","229250","233035","236526","239666","242428","244798","246814","248665","250602","252788","255305","258117","261157","264330","267548","270802","274122","",
"Costa Rica","CRI","Population, female","SP.POP.TOTL.FE.IN","655110","679267","704302","729953","755922","781942","807989","834049","859960","885545","910713","935372","959670","983984","1008892","1034803","1061852","1089978","1119217","1149543","1180926","1213457","1247129","1281678","1316756","1352109","1387575","1423256","1459500","1496813","1535525","1575632","1616874","1659059","1701861","1744983","1788435","1832023","1874944","1916187","1955051","1991165","2024734","2056440","2087276","2117986","2148776","2179428","2209783","2239527","2268446","2296505","2323842","2350526","2376650","2402304","2427501","2452206","",
"Caribbean small states","CSS","Population, female","SP.POP.TOTL.FE.IN","2095906","2137525","2179062","2219551","2257812","2292940","2324509","2352941","2379409","2405615","2432693","2461238","2490831","2520932","2550547","2579000","2605991","2631884","2657591","2684336","2712909","2743836","2776587","2809805","2841535","2870426","2895884","2918513","2939577","2960982","2984100","3009414","3036399","3064195","3091525","3117492","3141820","3164836","3187057","3209281","3232047","3255490","3279422","3303535","3327281","3350373","3372687","3394343","3415573","3436713","3458026","3479511","3501056","3522489","3543658","3564328","3584415","3603982","",
"Cuba","CUB","Population, female","SP.POP.TOTL.FE.IN","3492766","3568965","3650970","3736401","3821813","3904678","3983772","4059655","4133677","4208033","4284036","4362290","4441477","4518767","4590320","4653440","4707461","4753436","4792591","4826904","4858110","4885986","4910903","4935933","4965003","5000726","5044685","5095723","5150269","5203116","5250511","5291124","5326072","5356946","5386363","5416150","5446749","5477263","5506659","5533402","5556419","5575590","5591429","5604310","5614816","5623520","5630265","5635277","5639981","5646174","5655068","5667422","5682663","5699090","5714209","5726254","5734606","5739871","",
"Curacao","CUW","Population, female","SP.POP.TOTL.FE.IN","62262","63095","64470","65955","67344","68585","69391","70150","71233","72377","73492","74889","75130","74819","75643","76118","76320","76405","75881","75682","75836","76204","77035","77654","78153","78659","78761","78279","77289","76257","75631","75296","75231","75623","75972","76404","77173","77661","76472","73898","71010","68474","68539","69944","71203","73163","75301","77110","78421","79226","80458","81755","82508","83474","84603","85702","86570","87234","",
"Cayman Islands","CYM","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population, female","SP.POP.TOTL.FE.IN","291265","293055","293867","294180","294676","295854","297874","300594","303790","307140","310389","313471","316467","319412","322390","325454","328684","332016","335235","338046","340278","341815","342860","343882","345511","348236","352201","357281","363394","370347","377988","386293","395246","404637","414164","423597","432883","442020","450929","459552","467862","475707","483117","490493","498404","507185","517088","527833","538700","548667","557031","563480","568316","572078","575633","579589","584133","589069","",
"Czech Republic","CZE","Population, female","SP.POP.TOTL.FE.IN","4932704","4923397","4940614","4961999","4990460","5018304","5043785","5066437","5085813","5102865","5087672","5073832","5095229","5122305","5154736","5189216","5222349","5252079","5279015","5303396","5308089","5304980","5311243","5315013","5317581","5320585","5322849","5325260","5329198","5331916","5317186","5303711","5308186","5312596","5313355","5308952","5301586","5294588","5288317","5281861","5266297","5246281","5236261","5234437","5234233","5237556","5245325","5267565","5302159","5324099","5333373","5340649","5346447","5347953","5353716","5364012","5373556","5385189","",
"Germany","DEU","Population, female","SP.POP.TOTL.FE.IN","38951020","39187201","39451175","39726846","39959308","40224016","40496768","40629392","40767250","41054976","41158943","41205799","41379184","41488178","41483365","41307002","41105793","40985858","40922458","40914740","40977371","41022563","40969694","40846456","40679941","40549100","40510784","40502323","40583236","40823461","41111976","41360338","41634321","41874749","41988564","42079186","42166071","42191832","42162063","42154337","42178635","42219057","42261204","42257125","42221344","42171170","42097724","42015818","41910331","41778326","41688042","40896135","40946459","41031907","41177351","41510094","41821989","41974158","",
